
[Wed Jan 04 18:46:28.763 2017] Begin Peak Summation Update test @ 8000 KHz
[Wed Jan 04 18:46:30.935 2017] ,START,EOL
[Wed Jan 04 18:46:30.951 2017] ,COMMENT,Peak Summation
[Wed Jan 04 18:46:30.967 2017] ,COMMENT,TX BIAS DELAY HAS BEEN REMOVED
[Wed Jan 04 18:46:31.014 2017] ,INFO,BOARD_ID,NA,SOIL_TYPE,NA,START_FREQ,8000,STOP_FREQ,12000,FREQ_INC,100,DELAY_TIME,100,NUM_SEQ_MEASURES,10,FIRMWARE_VERSION,0.1.8,TX_COIL,1,RX_COIL,1
[Wed Jan 04 18:46:31.170 2017] ,ACTION,SOIL TYPE,WATER CONTENT (%),tx_freq_actual (KHz),ADC Value (mV),TEMPERATURE (degC)
[Wed Jan 04 18:47:27.313 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9100.00,running_sum = 24 (12bit),running_sum = 23 (mV), temp = 23
[Wed Jan 04 18:47:27.719 2017] ,DISCHARGE,NA,NA,9100.00,2,23
[Wed Jan 04 18:47:30.610 2017] ,CHARGING,NA,NA,9200.00,3,23
[Wed Jan 04 18:47:30.735 2017] ,CHARGING,NA,NA,9200.00,3,23
[Wed Jan 04 18:47:30.985 2017] ,MEASURE,NA,NA,9200.00,2,23
[Wed Jan 04 18:47:31.220 2017] ,MEASURE,NA,NA,9200.00,2,23
[Wed Jan 04 18:47:31.454 2017] ,MEASURE,NA,NA,9200.00,2,23
[Wed Jan 04 18:47:31.688 2017] ,MEASURE,NA,NA,9200.00,3,23
[Wed Jan 04 18:47:31.923 2017] ,MEASURE,NA,NA,9200.00,3,23
[Wed Jan 04 18:47:31.954 2017] ,RECORD,NA,NA,9200.00,3,23
[Wed Jan 04 18:47:31.985 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9200.00,running_sum = 27 (12bit),running_sum = 26 (mV), temp = 23
[Wed Jan 04 18:47:32.407 2017] ,DISCHARGE,NA,NA,9200.00,2,23
[Wed Jan 04 18:47:35.298 2017] ,CHARGING,NA,NA,9300.00,5,23
[Wed Jan 04 18:47:35.423 2017] ,CHARGING,NA,NA,9300.00,5,23
[Wed Jan 04 18:47:35.657 2017] ,MEASURE,NA,NA,9300.00,5,23
[Wed Jan 04 18:47:35.907 2017] ,MEASURE,NA,NA,9300.00,5,23
[Wed Jan 04 18:47:36.142 2017] ,MEASURE,NA,NA,9300.00,5,23
[Wed Jan 04 18:47:36.361 2017] ,MEASURE,NA,NA,9300.00,5,23
[Wed Jan 04 18:47:36.611 2017] ,MEASURE,NA,NA,9300.00,5,23
[Wed Jan 04 18:47:36.642 2017] ,RECORD,NA,NA,9300.00,5,23
[Wed Jan 04 18:47:36.673 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9300.00,running_sum = 32 (12bit),running_sum = 31 (mV), temp = 23
[Wed Jan 04 18:47:37.079 2017] ,DISCHARGE,NA,NA,9300.00,4,23
[Wed Jan 04 18:47:39.986 2017] ,CHARGING,NA,NA,9400.00,3,23
[Wed Jan 04 18:47:40.111 2017] ,CHARGING,NA,NA,9400.00,3,23
[Wed Jan 04 18:47:40.345 2017] ,MEASURE,NA,NA,9400.00,3,23
[Wed Jan 04 18:47:40.579 2017] ,MEASURE,NA,NA,9400.00,3,23
[Wed Jan 04 18:47:40.829 2017] ,MEASURE,NA,NA,9400.00,3,23
[Wed Jan 04 18:47:41.048 2017] ,MEASURE,NA,NA,9400.00,3,23
[Wed Jan 04 18:47:41.283 2017] ,MEASURE,NA,NA,9400.00,3,23
[Wed Jan 04 18:47:41.329 2017] ,RECORD,NA,NA,9400.00,3,23
